CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Oeste;28060646;EEI;ACHALAY;Avenida De Isabel De Farnesio, 14 ;Boadilla del Monte;-;28660;916326518;-;Público;
Madrid-Este;28063027;EEI;ACUARELA;Avenida Del Somorrostro, 193 ;San Fernando de Henares;-;28830;916694580;-;Público;
Madrid-Sur;28047460;EEI;ADIVINANZAS;Calle De Las Palmeras, 1 ;Alcorcón;-;28922;911886061;-;Público;
Madrid-Sur;28044100;EEI;AILANTOS;Plaza Duque De Ahumada, S/n ;Valdemoro;-;28341;918955900;918955900;Público;
Madrid-Sur;28044161;EEI;ANDERSEN;Avenida De Viña Grande, 2 ;Alcorcón;-;28925;916102111;916128971;Público;
Madrid-Este;28068098;EEI;ANTON PIRULERO;Calle Puerto De Bilbao, S/n ;Coslada;-;28821;916731099;912973728;Público;
Madrid-Este;28049055;EEI;ARCO IRIS;Calle Valverde De Alcala, 1 ;Alcalá de Henares;-;28806;918811481;918809878;Público;
Madrid-Sur;28065292;EEI;ARTE;Calle Mezquita, 36 ;Getafe;-;28903;916843528;916962941;Público;
Madrid-Oeste;28068037;EEI;ASERRIN ASERRAN;Calle Castillo De Atienza, 4 ;Rozas de Madrid, Las;-;28232;916365929;916365929;Público;
Madrid-Sur;28049067;EEI;BARCO DE PAPEL;Avenida De Los Cinco Siglos, 1 ;Navalcarnero;-;28600;918113003;918113657;Público;
Madrid-Sur;28043922;EEI;CALEIDOSCOPIO;Avenida De Carlos V, 3 ;Móstoles;-;28936;916454995;916454995;Público;
Madrid-Oeste;28072429;EEI;CALIMERO;Calle Amapolas, S/n ;Collado Villalba;-;28400;674334740;-;Público;
Madrid-Sur;28068219;EEI;CAMPANILLA;Calle Miguel De Cervantes, 106 ;Arroyomolinos;-;28939;916096167;916119054;Público;
Madrid-Sur;28070202;EEI;CAMPANILLA;Calle De Copenhague, 55 ;Alcorcón;-;28922;605865768;-;Público;
Madrid-Sur;28049195;EEI;CANCIONERO;Calle Emilia Pardo Bazán, S/n ;Getafe;-;28903;916969593;916969593;Público;
Madrid-Norte;28044252;EEI;CANTINELA;Sector Descubridores, 18 ;Tres Cantos;-;28760;918033249;-;Público;
Madrid-Sur;28068086;EEI;CARACOL COL COL;Calle Tablas De Daimiel, S/n ;Ciempozuelos;-;28350;918086676;918930668;Público;
Madrid-Norte;28058147;EEI;CARANTOÑAS;Calle Dalia, 18 ;Cobeña;-;28863;916208527;916208527;Público;
Madrid-Este;28044136;EEI;CARRUSEL;Calle Violeta, 17 ;Alcalá de Henares;-;28803;918818387;918818387;Público;
Madrid-Sur;28044288;EEI;CASA DE LOS NIÑOS;Avenida De Los Ángeles, 24 ;Getafe;-;28903;912027973;916951163;Público;
Madrid-Norte;28064305;EEI;CASCABELES;Calle Federico Moreno Torroba, S/n ;Alcobendas;-;28100;914904824;917080207;Público;
Madrid-Sur;28046947;EEI;CASCANUECES;Calle De Los Arquitectos, 35 ;Getafe;-;28903;916823802;916823802;Público;
Madrid-Sur;28064123;EEI;CASIOPEA;Calle Toledo, 54 ;Getafe;-;28901;916950164;916950164;Público;
Madrid-Este;28044203;EEI;CHARLIE RIVEL;Calle De Velázquez, S/n ;Coslada;-;28821;916738938;916738938;Público;
Madrid-Este;28071152;EEI;CHIQUITIN AJALVIR;Calle Soria, 2 ;Ajalvir;-;28864;918843964;-;Público;
Madrid-Sur;28043909;EEI;COLORES;Calle Coronel De Palma, S/n ;Móstoles;-;28934;916180211;916180211;Público;
Madrid-Oeste;28058202;EEI;CUENTACUENTOS;Calle Fuente Del Álamo, 10 ;Collado Villalba;-;28400;918510929;918510929;Público;
Madrid-Este;28044215;EEI;DIAMELA;Calle Colombia, S/n ;Coslada;-;28823;916735343;916693402;Público;
Madrid-Este;28067860;EEI;DON MELITON;Calle Arturo Soria, 5 ;Alcalá de Henares;-;28806;918786757;-;Público;
Madrid-Oeste;28072338;EEI;DON PIMPON;Calle De Murillo, 1 ;Galapagar;-;28420;918585012;-;Público;
Madrid-Sur;28061687;EEI;DULCINEA;Calle Moraña, 27 ;Leganés;-;28915;916808230;-;Público;
Madrid-Norte;28068232;EEI;EL ALMENDRO;Calle De Juan Gris, 3 ;Colmenar Viejo;-;28770;918473480;918451792;Público;
Madrid-Este;28070263;EEI;EL ARLEQUIN;Avenida De José Hierro, 88 ;Rivas-Vaciamadrid;-;28521;914991589;916442764;Público;
Madrid-Sur;28070937;EEI;EL BONSAI;Calle De Ernest Lluch, S/n ;Fuenlabrada;-;28942;914985345;914985345;Público;
Madrid-Sur;28064299;EEI;EL BOSQUE;Calle De La Encina, 2 ;Humanes de Madrid;-;28970;914982718;914982718;Público;
Madrid-Este;28048142;EEI;EL CASCANUECES;Calle De Paz Camacho, 72 ;Velilla de San Antonio;-;28891;916552125;916552125;Público;
Madrid-Sur;28068062;EEI;EL COCHERITO LERÉ;Calle De Fuentevaqueros, 12 ;Fuenlabrada;-;28944;916068472;916068472;Público;
Madrid-Este;28070111;EEI;EL COLUMPIO;Calle Molino, 5 ;Loeches;-;28890;918862173;918862173;Público;
Madrid-Sur;28072387;EEI;EL COLUMPIO;Paseo De Arroyomolinos, 64 ;Móstoles;-;28938;916472056;916470356;Público;
Madrid-Sur;28067872;EEI;EL CORRO DE LA PATATA;Calle Del Cabo San Vicente, S/n ;Alcorcón;-;28924;916199643;916199643;Público;
Madrid-Sur;28047538;EEI;EL CUCO;Calle Maestro, 10 ;Leganés;-;28914;916801409;916801409;Público;
Madrid-Norte;28046972;EEI;EL CUQUILLO;Paseo De La Chopera, 118 ;Alcobendas;-;28100;916624097;916622155;Público;
Madrid-Sur;28047447;EEI;EL ESCONDITE;Calle De Las Panaderas, 12 ;Fuenlabrada;-;28944;916979265;916970227;Público;
Madrid-Norte;28064317;EEI;EL FARO;Avenida De Talavera De La Reina, S/n ;San Sebastián de los Reyes;-;28701;916593447;-;Público;
Madrid-Este;28073392;EEI;EL GATO CON BOTAS;Calle Antonio Solís, S/n ;Torrejón de Ardoz;-;28850;911167918;911167918;Público;
Madrid-Sur;28047009;EEI;EL JUGLAR;Calle De Alonso Cano, 8 ;Móstoles;-;28933;916173761;916173761;Público;
Madrid-Sur;28043776;EEI;EL LAGO;Calle De Zaragoza, 6 ;Fuenlabrada;-;28941;916060622;916067296;Público;
Madrid-Sur;28068335;EEI;EL LIMONERO;Calle Estrella Polar, S/n ;Parla;-;28983;914241538;914241539;Público;
Madrid-Sur;28068347;EEI;EL MANZANO;Calle Planeta Tierra, S/n ;Parla;-;28983;914242240;914240796;Público;
Madrid-Sur;28048580;EEI;EL MOLINO;Avenida De Europa, 25 ;Fuenlabrada;-;28943;916082112;916082112;Público;
