AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Capital;28063751;CP INF-PRI;AGUSTIN RODRIGUEZ SAHAGUN;Calle De La Granja De San Ildefonso, 17-19 ;Madrid;Villa de Vallecas;28051;913324348;914941475;Público
Madrid-Capital;28004989;CP INF-PRI;AGUSTINA DIEZ;Calle Del Vesubio, 5 ;Madrid;Puente de Vallecas;28038;917770073;917770073;Público
Madrid-Capital;28004990;CP INF-PRI;ALBERTO ALCOCER;Avenida Canillejas-vicalvaro, 56 ;Madrid;San Blas-Canillejas;28022;913202609;913200446;Público
Madrid-Capital;28018393;CP INF-PRI;ALCALDE DE MOSTOLES;Calle De Aldeanueva De La Vera, 9 ;Madrid;Latina;28044;917055465;915095129;Público
Madrid-Capital;28005003;CP INF-PRI;ALFONSO X EL SABIO;Calle De La Fuente De San Pedro, 6 ;Madrid;Vicálvaro;28032;913719661;917765962;Público
Madrid-Capital;28038318;CP INF-PRI;ALHAMBRA;Calle De Ramón Gómez De La Serna, 103 ;Madrid;Fuencarral-El Pardo;28035;913162273;913737021;Público
Madrid-Capital;28066302;CP INF-PRI;ALVARO DE BAZAN;Calle De Zurich, 10 ;Madrid;San Blas-Canillejas;28022;917757114;913067517;Público
Madrid-Capital;28018401;CP INF-PRI;AMADEO VIVES;Calle De Los Yébenes, 6 ;Madrid;Latina;28047;917183389;917199055;Público
Madrid-Capital;28010412;CP INF-PRI;AMADOR DE LOS RIOS;Paseo Del Marqués De Zafra, 16 ;Madrid;Salamanca;28028;917252610;917261891;Público
Madrid-Capital;28005854;CP INF-PRI;AMOS ACERO;Calle De Rodríguez Espinosa, 54 ;Madrid;Puente de Vallecas;28053;914785161;914772415;Público
Madrid-Capital;28021215;CP INF-PRI;ANTONIO DE NEBRIJA;Calle De Juan José Martínez Seco, 77 ;Madrid;Villaverde;28021;917963500;915051317;Público
Madrid-Capital;28072478;CP INF-PRI;ANTONIO FONTAN;Avenida Santuario De Valverde C/v Monasterio Arlanza, S/n ;Madrid;Fuencarral-El Pardo;28049;911722243;911720001;Público
Madrid-Capital;28005039;CP INF-PRI;ANTONIO MACHADO;Calle De Allariz, 3 ;Madrid;Carabanchel;28044;915088661;914006788;Público
Madrid-Capital;28010874;CP INF-PRI;ANTONIO MORENO ROSALES;Calle Del Olmo, 4 ;Madrid;Centro;28012;915390646;915390646;Público
Madrid-Capital;28033941;CP INF-PRI;ARAGON;Avenida De Rafael Alberti, 2 ;Madrid;Puente de Vallecas;28038;913039852;913806367;Público
Madrid-Capital;28010424;CP INF-PRI;ARAVACA;Calle Del Estudio, 6 ;Madrid;Moncloa-Aravaca;28023;913078119;913071832;Público
Madrid-Capital;28006469;CP INF-PRI;ARCIPRESTE DE HITA;Calle De Antonio Moreno, 25 ;Madrid;Carabanchel;28025;915605495;914605635;Público
Madrid-Capital;28021124;CP INF-PRI;ARQUITECTO GAUDI;Calle De Rosa Jardón, 10 ;Madrid;Chamartín;28016;913506564;913506564;Público
Madrid-Capital;28035524;CP INF-PRI;ASTURIAS;Calle De Los Asturianos, 2 ;Madrid;Puente de Vallecas;28018;917770635;917850680;Público
Madrid-Capital;28071383;CP INF-PRI;AUSIAS MARCH;Calle De La Estefanita, 9 ;Madrid;Villaverde;28021;917109916;917964694;Público
