28060646;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 141 89 75 70 63;Admitidas (presentadas en el centro) 50 41 49 51 49;Admitidas (presentadas en otro centro) 4 12 0 0 0;No admitidas (presentadas en el centro) 91 48 26 19 14;
28063027;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 46 25 21 34 54;Admitidas (presentadas en el centro) 28 17 20 29 32;Admitidas (presentadas en otro centro) 7 14 10 3 3;No admitidas (presentadas en el centro) 18 8 1 5 22;
28047460;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 68 38 33 21 23;Admitidas (presentadas en el centro) 48 37 33 21 23;Admitidas (presentadas en otro centro) 6 2 2 1 2;No admitidas (presentadas en el centro) 20 1 0 0 0;
28044100;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 106 66 58 50 39;Admitidas (presentadas en el centro) 47 49 45 48 39;Admitidas (presentadas en otro centro) 12 11 5 6 8;No admitidas (presentadas en el centro) 59 17 13 2 0;
28044161;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 98 67 55 28 47;Admitidas (presentadas en el centro) 64 50 48 28 45;Admitidas (presentadas en otro centro) 13 1 1 1 1;No admitidas (presentadas en el centro) 34 17 7 0 2;
28068098;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 148 106 93 110 93;Admitidas (presentadas en el centro) 100 82 74 87 77;Admitidas (presentadas en otro centro) 5 1 2 0 0;No admitidas (presentadas en el centro) 48 24 19 23 16;
28049055;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 122 85 73 62 69;Admitidas (presentadas en el centro) 59 51 60 58 56;Admitidas (presentadas en otro centro) 6 3 1 2 1;No admitidas (presentadas en el centro) 63 34 13 4 13;
28065292;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 102 80 74 79 130;Admitidas (presentadas en el centro) 47 44 42 37 45;Admitidas (presentadas en otro centro) 8 11 14 11 8;No admitidas (presentadas en el centro) 55 36 32 42 85;
28068037;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 318 229 199 176 158;Admitidas (presentadas en el centro) 87 75 74 74 74;Admitidas (presentadas en otro centro) 7 16 10 17 15;No admitidas (presentadas en el centro) 231 154 125 102 84;
28049067;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 78 44 36 33 55;Admitidas (presentadas en el centro) 36 38 36 33 48;Admitidas (presentadas en otro centro) 12 0 5 8 1;No admitidas (presentadas en el centro) 42 6 0 0 7;
28043922;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 125 69 55 48 57;Admitidas (presentadas en el centro) 54 57 53 41 47;Admitidas (presentadas en otro centro) 11 6 3 2 4;No admitidas (presentadas en el centro) 71 12 2 7 10;
28072429;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 112 58 38 55 33;Admitidas (presentadas en el centro) 57 50 37 49 33;Admitidas (presentadas en otro centro) 29 28 18 6 12;No admitidas (presentadas en el centro) 55 8 1 6 0;
28068219;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2016-2017;Presentadas 119;Admitidas 104;No admitidas 15;
28070202;PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas) 2012-2013 2013-2014 2014-2015 2015-2016 2016-2017;Presentadas en el centro 82 85 56 54 46;Admitidas (presentadas en el centro) 52 59 49 43 36;Admitidas (presentadas en otro centro) 3 0 2 1 0;No admitidas (presentadas en el centro) 30 26 7 11 10;
