date	district	latitude	longitude	neighborhood	bathrooms	exterior	floor	hasLift	price	priceByArea	propertyType	operation	rooms	size	parkingSpace.hasParkingSpace	propertyCode	municipality	country	newDevelopment	status	detailedType.typology	province	distance	address
	Salamanca	404.303.854	-36.731.372	Lista	2	false		true	3750	15	office	rent		250	true	34986866	Madrid	es	false	good	office	Madrid	2443	barrio Lista
	Centro	404.232.501	-37.089.173	Malasaña-Universidad	2	true	2	true	480	16	office	rent		30	false	31264473	Madrid	es	false	good	office	Madrid	951	plaza mostenses, 1
	Retiro	404.117.224	-36.728.774	Niño Jesús	1	true	1	true	1350	11	office	rent		120	false	34984450	Madrid	es	false	good	office	Madrid	3194	nazaret, 1
	Salamanca	404.304.805	-36.707.394	Goya	1	false	en	true	1400	12	office	rent		121	false	34984191	Madrid	es	false	good	office	Madrid	2646	barrio Goya
	Retiro	404.052.148	-36.789.781	Pacífico	1	true	1	true	800	12	office	rent		65	false	34983768	Madrid	es	false	good	office	Madrid	3375	mediterráneo
	Tetuán	404.568.351	-36.949.898	Cuatro Caminos	0	true	5	true	8232	21	office	rent		392	false	34983535	Madrid	es	false	good	office	Madrid	3042	calle de pedro teixeira
	Tetuán	404.562.351	-36.961.898	Cuatro Caminos	0	true	3	true	10920	21	office	rent		520	false	34983534	Madrid	es	false	good	office	Madrid	2958	calle de pedro teixeira
	Tetuán	404.545.529	-36.945.827	Cuatro Caminos	0	true	4	true	5502	21	office	rent		262	false	34983532	Madrid	es	false	good	office	Madrid	2801	calle de orense, 34
	Chamartín	404.412.812	-3.672.875	Prosperidad	0	true	8	true	5964	12	office	rent		497	false	34983531	Madrid	es	false	good	office	Madrid	2765	calle del corazón de maría
	Chamartín	404.403.812	-3.672.875	Prosperidad	0	true	1	true	2796	12	office	rent		233	false	34983529	Madrid	es	false	good	office	Madrid	2721	calle del corazón de maría
	Chamberí	404.393.126	-36.977.002	Almagro	0	true	2	true	4095	13	office	rent		315	false	34983528	Madrid	es	false	good	office	Madrid	1097	calle de santa engracia
	Salamanca	404.279.441	-36.865.821	Recoletos	0	true	1	true	4590	17	office	rent		270	false	34983527	Madrid	es	false	good	office	Madrid	1324	calle de serrano
	Usera	403.765.412	-3.692.267	San Fermín	0	true		true	12492	12	office	rent		1041	false	34983525	Madrid	es	false	good	office	Madrid	6000	calle san máximo
	Arganzuela	403.973.451	-3.678.323	Delicias	0	true	1	true	19040	16	office	rent		1190	false	34983524	Madrid	es	false	good	office	Madrid	4147	calle del ombú
	Tetuán	404.551.328	-36.926.979	Cuzco-Castillejos	0	true	3	true	3692	13	office	rent		284	false	34983522	Madrid	es	false	good	office	Madrid	2903	avenida de brasil
	Tetuán	404.501.408	-36.957.306	Cuatro Caminos	0	true	5	true	19800	18	office	rent		1100	false	34983521	Madrid	es	false	good	office	Madrid	2301	plaza de carlos trias bertrán
	Tetuán	404.520.408	-36.917.306	Cuatro Caminos	0	true	5	true	17100	18	office	rent		950	false	34983520	Madrid	es	false	good	office	Madrid	2600	plaza de carlos trias bertrán
	Tetuán	404.532.408	-36.933.306	Cuatro Caminos	0	true	1	true	14400	18	office	rent		800	false	34983519	Madrid	es	false	good	office	Madrid	2686	plaza de carlos trias bertrán
	Salamanca	404.267.894	-36.841.073	Recoletos	0	true	1	true	12300	20	office	rent		615	false	34983517	Madrid	es	false	renew	office	Madrid	1555	barrio Recoletos
	Tetuán	404.499.408	-36.917.306	Cuatro Caminos	0	true	5	true	22140	18	office	rent		1230	false	34983516	Madrid	es	false	good	office	Madrid	2381	plaza de carlos trias bertrán
		407.282.093	-38.716.999		2	false	bj	true	500	7	flat	rent	2	76	true	34257073	Manzanares el Real	es	false	good	flat	Madrid		avenida de la pedriza, 13
	Fuencarral	405.051.534	-37.086.317	Montecarmelo	1	true	5	true	1200	13	penthouse	rent	2	90	true	1995003	Madrid	es	false	good	flat	Madrid		avenida Santuario de Valverde, 6
	Centro	404.065.726	-37.013.111	Lavapiés-Embajadores	2	false	2	true	800	10	flat	rent	2	80	true	35054443	Madrid	es	false	good	flat	Madrid		calle Miguel Servet, 13
	Hortaleza	40.464.935	-36.293.648	Canillas	1	true	6	true	600	13	flat	rent	1	45		35054314	Madrid	es	false	good	flat	Madrid		calle de Mota del Cuervo, 76
	Altos de Jarama	40.529.949	-35.431.383		2	false			875	10	chalet	rent	2	90	true	2099140	Paracuellos de Jarama	es	false	good	chalet	Madrid		calle Arce, 8
	El Bosque	4.038.572	-393.068		2	true	bj	true	850	10	flat	rent	2	85	true	29608581	Villaviciosa de Odón	es	false	good	flat	Madrid		calle Tera, 1
	Tetuán	404.543.979	-37.030.548	Berruguete	1	true	6	true	600	10	flat	rent	1	60		26314509	Madrid	es	false	good	flat	Madrid		calle de Bravo Murillo, 191
	Fuencarral	405.037.039	-3.674.192	Las Tablas	2	true	4	true	949	11	flat	rent	2	90	true	35054176	Madrid	es	false	good	flat	Madrid		calle San Juan de Ortega, 20
	Fuencarral	4.048.969	-371.696	Arroyo del Fresno	1	true	4	true	1100	16	flat	rent	2	70	true	35054156	Madrid	es	false	good	flat	Madrid		barrio Arroyo del Fresno
	Tetuán	404.711.944	-37.026.162	Valdeacederas	1	true	1	true	725	10	flat	rent	2	70		35054121	Madrid	es	false	good	flat	Madrid		calle Arroyo
	San Blas	4.041.896	-361.635	Arcos	2	true	2	true	950	8	flat	rent	3	115	true	35054044	Madrid	es	false	good	flat	Madrid		calle de Nuremberg, 11
	San Blas	404.443.715	-35.866.433	Rejas	1	true	5	true	690	11	flat	rent	1	65	true	25827100	Madrid	es	false	good	flat	Madrid		calle de la Pirra, 34
	Zona Carretera del Plantío	404.783.188	-38.533.256		2	false		true	999	10	flat	rent	2	105	true	35054052	Majadahonda	es	false	good	flat	Madrid		calle tejar
	Zona Monte el Pilar	404.686	-386.147		3	false		true	2000	14	duplex	rent	3	140	true	35054051	Majadahonda	es	false	good	flat	Madrid		avenida principe de asturias
	Salamanca	404.246.318	-36.794.732	Goya	2	true	4	true	2350	14	flat	rent	3	170		35054024	Madrid	es	false	good	flat	Madrid		calle de Goya
	Chamberí	404.313.313	-37.150.399	Gaztambide	1	true	4	true	800	16	studio	rent	0	50		35053994	Madrid	es	false	good	flat	Madrid		calle Hilarión Eslava
	Chamberí	404.419.046	-36.964.378	Nuevos Ministerios-Ríos Rosas	1	true	1	true	1100	17	flat	rent	1	65	true	35053953	Madrid	es	false	good	flat	Madrid		barrio Nuevos Ministerios-Ríos Rosas
	Salamanca	404.266.392	-36.865.214	Recoletos	1	false	3	true	800	16	flat	rent	2	50		35053894	Madrid	es	false	good	flat	Madrid		calle de Claudio Coello, 47
	Centro	40.419.839	-37.105.145	Palacio	2	false	bj	true	3200	27	flat	rent	2	120		35053891	Madrid	es	false	good	flat	Madrid		calle de la Bola, 4
	Arganzuela	403.876.663	-36.942.466	Legazpi	2	true	3	true	980	13	flat	rent	2	75		35053806	Madrid	es	false	good	flat	Madrid		calle de Julián Rabanedo, 21
	Salamanca	404.265.848	-36.833.268	Recoletos	1	true	1	true	1200	20	flat	rent	1	60		35053374	Madrid	es	false	good	flat	Madrid		barrio Recoletos
		407.480.266	-35.114.223		4	false			890	4	chalet	rent	3	240	true	34189248	Talamanca de Jarama	es	false	good	chalet	Madrid		camino del cubillo, 3
	Ciudad Lineal	404.266.179	-36.519.166	Ventas	1	true	4	true	570	9	flat	rent	3	65		35053040	Madrid	es	false	good	flat	Madrid		calle de Gerardo Cordón, 67
	Salamanca	40.425.173	-36.863.656	Recoletos	3	true		true	4000	28	flat	rent	2	145	true	35053274	Madrid	es	false	good	flat	Madrid		barrio Recoletos
	La Moraleja	40.528.515	-3.619.985		4	false			4200	8	chalet	rent	5	500	true	28353845	La Moraleja	es	false	good	chalet	Madrid		La Moraleja
	Salamanca	404.260.919	-36.610.545	Fuente del Berro	2	false			2200	9	chalet	rent	4	250	true	35053013	Madrid	es	false	good	chalet	Madrid		barrio Fuente del Berro
	Ciudad Lineal	404.358.649	-36.514.622	Concepción	1	false	bj	false	500	13	studio	rent	0	40		31541549	Madrid	es	false	good	flat	Madrid		calle virgen del castañar
	Parla Este	4.022.192	-375.999		2	true	3	true	600	6	flat	rent	2	99	true	35052995	Parla	es	false	good	flat	Madrid		Parla Este
	Puente de Vallecas	403.765.944	-36.630.864	Entrevías	1	false	1		500	5	flat	rent	3	100		35052998	Madrid	es	false	good	flat	Madrid		avenida de las glorietas
	Salamanca	404.300.164	-36.640.578	Guindalera	1	true	en	true	780	13	flat	rent	1	60		35052925	Madrid	es	false	good	flat	Madrid		alcala
	Chamartín	404.411.359	-36.704.766	Prosperidad	1	false	6	true	1300	15	flat	rent	2	85		29158439	Madrid	es	false	good	flat	Madrid		calle del Corazón de María, 7  bis
	Las Américas	402.211	-375.789		2	true	7	true	550	6	flat	rent	2	85	true	30400303	Parla	es	false	good	flat	Madrid		avenida de los Planetas, 44
	Retiro	404.084.575	-36.725.749	Niño Jesús	2	true	2	true	1160	8	flat	rent	4	140		35052845	Madrid	es	false	good	flat	Madrid		barrio Niño Jesús
	Puente de Vallecas	403.903.514	-36.714.946	San Diego	1	true	3	false	620	7	flat	rent	3	90		30766813	Madrid	es	false	good	flat	Madrid		calle maría encinas, 2
	Chamberí	404.329.222	-37.062.798	Arapiles	1	false	2	true	950	19	flat	rent	1	50		35052769	Madrid	es	false	good	flat	Madrid		barrio Arapiles
	Parque Empresarial	405.232.382	-38.925.987	Parque Empresarial	2	true	3	true	1290	9	penthouse	rent	3	150	true	35052681	Las Rozas de Madrid	es	false	good	flat	Madrid		barrio Parque Empresarial
		407.094.524	-39.673.724		3	false			1200	4	chalet	rent	4	280	true	35052661	Becerril de la Sierra	es	false	good	chalet	Madrid		Becerril de la Sierra
	Brezo	401.959.077	-36.830.894		1	true	4	true	500	7	flat	rent	2	75	true	25449665	Valdemoro	es	false	good	flat	Madrid		calle de Dalí, 3  4º A
	Barajas	4.047.771	-35.778.549	Casco Histórico de Barajas	1	true	1	false	600	11	flat	rent	1	55		35052635	Madrid	es	false	good	flat	Madrid		barrio Casco Histórico de Barajas
	Parque Lisboa - La Paz	403.485.542	-38.058.757	Parque Lisboa - La Paz	2	true	3	true	775	10	flat	rent	2	78		35052609	Alcorcón	es	false	good	flat	Madrid		avenida de la Libertad
	Latina	404.093.747	-37.249.194	Puerta del Ángel	1	true	3	true	900	13	flat	rent	2	68		35048256	Madrid	es	false	good	flat	Madrid		calle Pablo Casals, 3
	Puente de Vallecas	404.019.749	-36.603.956	Numancia	1	true	4	true	830	10	flat	rent	1	80		35048267	Madrid	es	false	good	flat	Madrid		calle sierra toledana, 29
	Centro	404.146.071	-37.101.565	Palacio	1	true	2	false	980	16	flat	rent	1	60		35048266	Madrid	es	false	good	flat	Madrid		calle Cuchilleros
	Chamberí	404.311.679	-37.004.914	Trafalgar	1	false	2	true	900	18	flat	rent	2	50		35048265	Madrid	es	false	good	flat	Madrid		calle de Trafalgar, 7
