date,district,latitude,longitude,neighborhood,bathrooms,exterior,floor,hasLift,price,priceByArea,propertyType,operation,rooms,size,parkingSpace.hasParkingSpace,propertyCode,municipality,country,newDevelopment,status,detailedType.typology,province,distance,address
2017-01-18 21:56:53,Getafe norte,40.3168066,-3.715163,,4,false,,,374000,947,chalet,sale,5,395,,34908384,Getafe,es,false,good,,Madrid,2022,DE LA ALMAZARA
2017-01-18 21:56:53,Getafe Centro,40.30695,-3.7320336,,1,true,1,false,127000,1588,flat,sale,3,80,,35075764,Getafe,es,false,good,,Madrid,222,calle Cuestas Altas
2017-01-18 21:56:53,Sector 3,40.2974554,-3.7415084,,3,false,,,320000,914,chalet,sale,4,350,,35685058,Getafe,es,false,good,,Madrid,1126,antonio Soler
2017-01-18 21:56:53,El Bercial,40.32182,-3.73606,,2,true,,true,300000,1948,flat,sale,4,154,,34466351,Getafe,es,true,,,Madrid,1768,"avenida Rosa Regás, 10"
2017-01-18 21:56:53,Los Molinos,40.321,-3.70748,,2,true,3,true,193000,2443,flat,sale,2,79,,35641325,Getafe,es,false,good,,Madrid,2823,calle del Galgo Corredor
2017-01-18 21:56:53,San Isidro,40.3046084,-3.7302849,,2,true,2,false,189000,1969,flat,sale,3,96,,35054365,Getafe,es,false,good,,Madrid,374,"calle Barco, 4"
2017-01-18 21:56:53,Buenavista,40.2983678,-3.7570204,,2,true,,true,151101,1526,flat,sale,3,99,,35629311,Getafe,es,true,,,Madrid,2102,avenida Manuel Azaña esq c/Lina Odena  s/n
2017-01-18 21:56:53,Buenavista,40.2985084,-3.7559667,,2,true,,true,159265,1810,flat,sale,3,88,,31340944,Getafe,es,true,,,Madrid,2014,avenida Avenida Isabel de Palencia con Paseo de Mika Feldman s/n
2017-01-18 21:56:53,Buenavista,40.2985084,-3.7559667,,2,true,,true,167117,1759,flat,sale,3,95,,31340949,Getafe,es,true,,,Madrid,2014,avenida Avenida Isabel de Palencia con Paseo de Mika Feldman s/n
2017-01-18 21:56:53,Buenavista,40.2985084,-3.7559667,,2,true,,true,156939,1652,flat,sale,3,95,,30287232,Getafe,es,true,,,Madrid,2014,avenida Avenida Isabel de Palencia con Paseo de Mika Feldman s/n
